GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TestNGDemoApplicationWithExcelData,com.cts.service.impl,StudentServiceImpl,40,3,2,0,9,1,9,1,8,1
TestNGDemoApplicationWithExcelData,com.cts.service.impl,AuthServiceImpl,0,13,0,0,0,3,0,3,0,3
TestNGDemoApplicationWithExcelData,com.cts.exception,CustomExceptionHandler,0,100,0,2,0,19,0,6,0,5
TestNGDemoApplicationWithExcelData,com.cts.exception,InternalServerError,0,4,0,0,0,2,0,1,0,1
TestNGDemoApplicationWithExcelData,com.cts.exception,RecordNotFoundException,0,4,0,0,0,2,0,1,0,1
TestNGDemoApplicationWithExcelData,com.cts.exception,ErrorResponse,0,26,0,0,0,12,0,6,0,6
TestNGDemoApplicationWithExcelData,com.cts.repository.impl,StudentRepositoryImpl,27,3,0,0,7,1,6,1,6,1
TestNGDemoApplicationWithExcelData,com.cts.repository.impl,AuthRepositoryImpl,0,23,0,2,0,4,0,4,0,3
TestNGDemoApplicationWithExcelData,com.cts.controller,AuthController,0,26,0,0,0,5,0,3,0,3
TestNGDemoApplicationWithExcelData,com.cts.controller,StudentController,66,19,3,1,16,5,8,2,6,2
TestNGDemoApplicationWithExcelData,com.cts,TestNGDemoApplicationWithExcelData,5,3,0,0,2,1,1,1,1,1
TestNGDemoApplicationWithExcelData,com.cts.util,RWExcelStudent,354,7,28,0,87,2,20,2,6,2
TestNGDemoApplicationWithExcelData,com.cts.util,RWExcelFileAuth,0,233,2,20,0,55,2,13,0,4
TestNGDemoApplicationWithExcelData,com.cts.util,RWExcelFile,32,207,4,16,7,48,4,10,0,4
TestNGDemoApplicationWithExcelData,com.cts.model,User,0,31,0,0,0,13,0,9,0,9
TestNGDemoApplicationWithExcelData,com.cts.model,Student,12,19,0,0,4,9,4,5,4,5
